contract_id,effective_start_date,effective_end_date,version_id,contract_name,mg_beginning_balance,pp_beginning_balance,mg_original_paid,licensor_name,created_timestamp,created_by,updated_timestamp,updated_by
97,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Ys 9 - Goods,0,0,0,Nihon Falcom Corporation,2023-03-30T02:13:16.000Z,Yuta Okazaki,2023-03-30T02:13:16.000Z,Yuta Okazaki
120,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,1,Trails from Zero/Azure,800000,0,800000,Nihon Falcom Corporation,2023-05-11T16:58:28.000Z,Nisa Retool,2023-06-02T00:34:52.000Z,Nisa Retool
128,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Trails of Cold Steel 3 - Goods,0,0,0,Nihon Falcom Corporation,2023-05-25T22:20:14.000Z,Nisa Retool,2023-05-25T22:20:14.000Z,Nisa Retool
129,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Trails from Zero - Goods,0,0,0,Nihon Falcom Corporation,2023-05-25T22:40:42.000Z,Nisa Retool,2023-05-25T22:40:42.000Z,Nisa Retool
130,2022-10-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Ys 8 PS5,250000,0,250000,Nihon Falcom Corporation,2023-05-26T22:16:54.000Z,Nisa Retool,2023-05-26T22:16:54.000Z,Nisa Retool
132,2022-12-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,2,Trails into Reverie (Hajimari),2078929.97,0,1510000,Nihon Falcom Corporation,2023-05-31T21:36:24.000Z,Izumi Ebitsuka,2024-06-18T18:25:04.000Z,Izumi Ebitsuka
138,2023-04-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Ys 9 PS5,250000,0,250000,Nihon Falcom Corporation,2023-06-05T18:16:53.000Z,Nisa Retool,2023-06-05T18:16:53.000Z,Nisa Retool
139,2023-04-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,3,Trails through Daybreak,2000000,0,2000000,Nihon Falcom Corporation,2023-06-05T18:18:00.000Z,Nisa Retool,2023-10-12T18:48:40.000Z,Nisa Retool
140,2022-12-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Trails into Reverie (Hajimari) - Goods,0,0,0,Nihon Falcom Corporation,2023-06-30T16:11:39.000Z,Nisa Retool,2023-06-30T16:11:39.000Z,Nisa Retool
141,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Trails to Azure - Goods,0,0,0,Nihon Falcom Corporation,2023-06-30T16:21:46.000Z,Nisa Retool,2023-06-30T16:21:46.000Z,Nisa Retool
