,Item,Game Title,Sales (USD),COGS Expense,Royalty Expense,Capitalized Expense Amount (Debit + Credit),AD Promotion,Profit
278,TCK1-PS4,CRUEL KING AND GREAT HERO PS4,846.25,,,,,846.25
279,TCS1-PS3,TRAILS OF COLD STEEL PS3 PAL,27.43,,,,,27.43
280,TCS1-PSV,TRAILS OF COLD STEEL PSV PAL,85.34,,124.1,,,-38.75999999999999
281,TCS2-PS3,TRAILS OF COLD STEEL 2 PS3 PAL,5.9,,24.24,,,-18.339999999999996
282,TCS3-EGS,TRAILS OF COLD STEEL 3 EPIC,43.39,,289.81,,,-246.42000000000002
283,TCS3-NSW,TRAILS OF COLD STEEL 3 NSW,6321.4800000000005,,5849.7,,,471.78000000000065
284,TCS3-PS4,TRAILS OF COLD STEEL 3 PS4,4439.68,,4392.46,,,47.220000000000255
285,TCS3-PS5,TRAILS OF COLD STEEL 3 PS5,2846.5699999999997,,6790.12,,,-3943.55
286,TCS3-STM,TRAILS OF COLD STEEL 3 STEAM,18438.56,,21994.809999999998,,,-3556.2499999999964
287,TCS4-EGS,TRAILS OF COLD STEEL 4 EPIC,26.4,,337.89,,,-311.49
288,TCS4-NSW,TRAILS OF COLD STEEL 4 NSW,6201.839999999999,,7556.389999999999,,,-1354.5500000000002
289,TCS4-PS4,TRAILS OF COLD STEEL 4 PS4,5402.39,,4471.450000000001,,,930.9399999999996
290,TCS4-PS5,TRAILS OF COLD STEEL 4 PS5,5282.389999999999,,12952.68,,,-7670.290000000001
291,TCS4-STM,TRAILS OF COLD STEEL 4 STEAM,22992.96,,32318.84,,,-9325.880000000001
292,TDF1-PS4,DOUBLE FOCUS PS4,27.96,,13.98,,,13.98
293,TDO-ANM,TORADORA-NET,1916.16,,,,,1916.16
294,TDO1-BRD,TORADORA1,759.69,67.48,,,,692.21
295,TDO2-BRD,TORADORA2,39.99,1.59,,,,38.4
296,TFZ1-NSW,TRAILS FROM ZERO NSW,11475.97,,10988.67,,,487.2999999999993
297,TFZ1-PS4,TRAILS FROM ZERO PS4,12191.630000000001,,12127.630000000001,,,64.0
298,TFZ1-STM,TRAILS FROM ZERO STEAM,21057.28,,28131.149999999998,,,-7073.869999999999
299,TGR1-PS4,GENSO RONDO PS4 PAL,503.51,,1741.02,,,-1237.51
300,TGW1-PS4,GENSO WANDERER PS4 PAL,109.37,,44.66,,,64.71000000000001
301,TGW2-NSW,TGW RELOADED NSW,1753.5300000000002,,2455.42,,,-701.8899999999999
302,TGW2-PS4,TGW RELOADED PS4,332.19000000000005,,908.74,,,-576.55
303,TIR1-EGS,TRAILS INTO REVERIE EPIC,100.44000000000001,,484.12,,,-383.68
304,TIR1-NSW,TRAILS INTO REVERIE NSW,8136.28,27.36,27896.98,,,-19788.059999999998
305,TIR1-OTH,GOODS,99.99,26.42,294.94,,,-221.37
306,TIR1-PS4,TRAILS INTO REVERIE PS4,3418.7400000000002,,7142.04,,,-3723.2999999999997
307,TIR1-PS5,TRAILS INTO REVERIE PS5,33397.03,22.46,45383.82,,,-12009.25
308,TIR1-STM,TRAILS INTO REVERIE STEAM,27919.5,,94545.84,,,-66626.34
309,TKV1-NSW,TOUHOU KOBUTO V NSW,289.09000000000003,,368.89,,,-79.79999999999995
310,TKV1-PS4,TOUHOU KOBUTO V PS4 PAL,300.03999999999996,,463.36,,,-163.32000000000005
311,TKV1-PSV,TOUHOU KOBUTO V PSV DIGITAL,33.2,,15.73,,,17.470000000000002
312,TLC1-PSV,LOST CHILD PSV,71.7,,,,,71.7
313,TPG1-NSW,PRINCESS GUIDE NSW,258.07,,,,,258.07
314,TPG1-PS4,PRINCESS GUIDE PS4,136.89,,,,,136.89
315,TTA1-NSW,TRAILS TO AZURE NSW,8097.27,,7279.07,,,818.2000000000007
316,TTA1-PS4,TRAILS TO AZURE PS4,10485.11,,9028.44,,,1456.67
317,TTA1-STM,TRAILS TO AZURE STEAM,19997.79,,28742.86,,,-8745.07
318,TTD1-EGS,TRAILS THROUGH DAYBREAK EPIC,381.11,,2535.64,,,-2154.5299999999997
319,TTD1-NSW,TRAILS THROUGH DAYBREAK NSW,24030.43,212.92,301099.4,,,-277281.89
320,TTD1-OTH,GOODS,3190.8100000000004,764.53,4530.64,,,-2104.3599999999997
321,TTD1-PS4,TRAILS THROUGH DAYBREAK PS4,7719.759999999999,68.64999999999999,88113.7,,,-80462.59
322,TTD1-PS5,TRAILS THROUGH DAYBREAK PS5,99706.31,251.61,1386230.44,,,-1286775.74
323,TTD1-STM,TRAILS THROUGH DAYBREAK STEAM,86794.12999999999,,1063595.88,81557.49,,-1058359.24
324,TTD2-OTH,GOODS,648.86,216.01,,,,432.85
325,TTDB-PS4,TTGH DAYBREAK SPECIAL GIGS PS4,66.49,,218.08,,,-151.59000000000003
326,TTG1-PS3,TKO TWILIGHT GHST HUNTERS PS3,28.589999999999996,,62.72,,,-34.13
