,Title,Item,Platform,Division,Sales Units,Sales Amount,Month,Coop_expense,Paid_PP,Material_COGS,Royalty,Marginal Profit,Game Type
3878,03-2023 : Monark : Monark PS5,MON1-PS5-EU-VG-SE-BLX,PS5,EU Games,,,,,,,,0.0,Physical
3879,03-2023 : Monark : Monark PS5,MON1-PS5-EU-VG-SE-UK,PS5,EU Games,,,,,,,,0.0,Physical
3880,03-2023 : Monark : Monark PS5,MON1-PS5-EU-VG-SE-FR,PS5,EU Games,,,,,,,,0.0,Physical
3881,03-2023 : Monark : Monark PS5,MON1-PS5-EU-VG-SE-AU,PS5,EU Games,,,,,,,,0.0,Physical
3882,03-2023 : Monark : Monark PS5,MON1-PS5-EU-VG-SE-IT,PS5,EU Games,,,,,,,,0.0,Physical
3883,03-2023 : Monark : Monark PS5,MON1-PS5-EU-VG-SE-SP,PS5,EU Games,,,,,,,,0.0,Physical
3884,03-2023 : Monark : Monark PS5,MON1-PS5-EU-VG-SE-DE,PS5,EU Games,,,,,,,,0.0,Physical
3885,03-2023 : Monark : Monark PS5,MON1-PS5-EU-VG-SE,PS5,EU Games,,,,,,,,0.0,Physical
3886,03-2022 : Yurukill,YUK1-GDS-EU-ABK1,GDS,EU Games : EU Games-STORE,,,,,,,,0.0,Components
3887,03-2022 : Yurukill,YUK1-GDS-WS-ABK1,GDS,NA Games : NA Games-STORE,,,,,,,,0.0,Components
3888,03-2022 : Yurukill,YUK1-GDS-WS-VG-PE-BOX1,GDS,NA Games : NA Games-STORE,,,,,,,,0.0,Components
3889,03-2022 : Yurukill,YUK1-GDS-EU-VG-PE-BOX1,GDS,EU Games : EU Games-STORE,,,,,,,,0.0,Components
3890,03-2023 : Monark : Monark NSW,MON1-NSW-US-DLC1,NSW,NA Games,,,,,,,,0.0,Physical
3891,03-2022 : Yurukill,YUK1-GDS-EU-POS1,GDS,EU Games : EU Games-STORE,,,,,,,,0.0,Components
3892,03-2022 : Yurukill,YUK1-GDS-WS-POS1,GDS,NA Games : NA Games-STORE,,,,,,,,0.0,Components
3893,03-2022 : Yurukill,YUK1-GDS-EU-STD1,GDS,EU Games : EU Games-STORE,,,,,,,,0.0,Components
