game_title_id,effective_start_date,effective_end_date,version_id,game_title,release_date,contract_name,created_timestamp,created_by,updated_timestamp,updated_by
312,2023-05-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,TTGH Daybreak Special Gigs PS3,2015-03-13T00:00:00.000Z,TTGH Daybreak Special Gigs,2023-06-30T21:11:24.000Z,Nisa Retool,2023-06-30T21:11:24.000Z,Nisa Retool
313,2023-05-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,TTGH Daybreak Special Gigs PSV,2015-03-13T00:00:00.000Z,TTGH Daybreak Special Gigs,2023-06-30T21:11:40.000Z,Nisa Retool,2023-06-30T21:11:40.000Z,Nisa Retool
253,2022-08-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,1,Operation Abyss NTL PSV,2015-06-09T00:00:00.000Z,OPERATION ABYSS,2023-05-17T16:18:27.000Z,Nisa Retool,2023-05-18T20:48:38.000Z,Nisa Retool
287,2022-11-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Neptunia:Neptunia PP-PSV EU,2015-04-03T00:00:00.000Z,Neptunia 4 EU,2023-05-31T17:11:22.000Z,Nisa Retool,2023-05-31T17:11:22.000Z,Nisa Retool
261,2022-08-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Neptunia:Neptunia PP-PSV,2014-07-03T00:00:00.000Z,Neptunia 4 US,2023-05-17T16:36:14.000Z,Nisa Retool,2023-05-17T16:36:14.000Z,Nisa Retool
241,2022-08-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,GOC 3 PSP PAL,2005-03-31T00:00:00.000Z,GOC 3,2023-05-11T17:43:30.000Z,Nisa Retool,2023-05-11T17:43:30.000Z,Nisa Retool
242,2022-08-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,GOC 3 PSP,2005-03-31T00:00:00.000Z,GOC 3,2023-05-11T17:43:45.000Z,Nisa Retool,2023-05-11T17:43:45.000Z,Nisa Retool
264,2022-08-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Blade Dancer PSP,2006-07-18T00:00:00.000Z,Blade Dancer,2023-05-17T16:48:36.000Z,Nisa Retool,2023-05-17T16:48:36.000Z,Nisa Retool
262,2022-08-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,My Lord!?:My Lord!? 1 PSP,2009-07-16T00:00:00.000Z,My Lord 1 US,2023-05-17T16:47:32.000Z,Nisa Retool,2023-05-17T16:47:32.000Z,Nisa Retool
263,2022-08-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,My Lord!?:My Lord!? 2 PSP,2010-05-04T00:00:00.000Z,My Lord 2 US,2023-05-17T16:47:58.000Z,Nisa Retool,2023-05-17T16:47:58.000Z,Nisa Retool
249,2022-08-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,My Lord!?:My Lord!? 1 PSP-EU,2009-10-09T00:00:00.000Z,My Lord 1 EU,2023-05-11T17:55:17.000Z,Nisa Retool,2023-05-11T17:55:17.000Z,Nisa Retool
211,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Mugen Souls:Mugen Souls Z PS3 PAL EU,2022-06-01T00:00:00.000Z,Mugen Souls Z EU,2023-04-01T00:28:06.000Z,Yuta Okazaki,2023-04-01T00:28:06.000Z,Yuta Okazaki
243,2022-08-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Mugen Souls:Mugen Souls Z PS3 PAL,2014-05-23T00:00:00.000Z,Mugen Souls Z EU,2023-05-11T17:45:14.000Z,Nisa Retool,2023-05-11T17:45:14.000Z,Nisa Retool
226,2022-08-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Atelier Series:Atelier Meruru PS3,2015-03-06T00:00:00.000Z,Atelier Meruru,2023-05-11T00:16:43.000Z,Nisa Retool,2023-05-11T00:16:43.000Z,Nisa Retool
284,2022-11-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Atelier Series:Atelier Meruru PS3-EU,2015-03-06T00:00:00.000Z,Atelier Meruru,2023-05-31T17:03:24.000Z,Nisa Retool,2023-05-31T17:03:24.000Z,Nisa Retool
227,2022-08-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Atelier Series:Atelier Totori-EU,2015-03-06T00:00:00.000Z,Atelier Totori,2023-05-11T00:17:27.000Z,Nisa Retool,2023-05-11T00:17:27.000Z,Nisa Retool
228,2022-08-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Atelier Series:Atelier Totori-US,2015-03-06T00:00:00.000Z,Atelier Totori,2023-05-11T00:17:40.000Z,Nisa Retool,2023-05-11T00:17:40.000Z,Nisa Retool
229,2022-08-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Aedis Eclipse-PSN,2006-05-25T00:00:00.000Z,Aedis Eclipse,2023-05-11T00:20:19.000Z,Nisa Retool,2023-05-11T00:20:19.000Z,Nisa Retool
235,2022-08-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2023:Trails from Zero:Trails from Zero PS4,2022-09-27T00:00:00.000Z,Trails from Zero/Azure,2023-05-11T16:58:52.000Z,Nisa Retool,2023-05-11T16:58:52.000Z,Nisa Retool
271,2022-09-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2023:Trails from Zero:Trails from Zero NSW,2022-09-27T00:00:00.000Z,Trails from Zero/Azure,2023-05-25T22:21:53.000Z,Nisa Retool,2023-05-25T22:21:53.000Z,Nisa Retool
